critic/q_loss,critic/q1,z_critic/qz_loss,actor/bc_actor_loss,noise_actor/noise_actor_loss,alpha/alpha_loss,alpha/alpha,step
107.8763427734375,0.3703182339668274,0.7212903499603271,1.1843039989471436,4.037947654724121,7.0218505859375,0.9997000694274902,0
0.40197867155075073,42.07968521118164,0.11382360756397247,0.4502584934234619,-43.421485900878906,-0.005363892763853073,0.023102672770619392,20000
1.204801082611084,-37.89344787597656,0.4851687550544739,0.4047364294528961,37.66839599609375,-0.08977013826370239,0.021927399560809135,40000
0.9214767217636108,-43.42458724975586,0.3492201566696167,0.3982968032360077,43.27799987792969,-0.010795427486300468,0.024493711069226265,60000
0.49172016978263855,-47.06129837036133,0.29696956276893616,0.3596538007259369,46.971439361572266,0.0225779190659523,0.023232996463775635,80000
0.6785582304000854,-47.90301513671875,0.569517195224762,0.3688329756259918,47.998268127441406,-0.04512683302164078,0.022585898637771606,100000
0.5464761257171631,-50.92052459716797,0.3168940544128418,0.36282533407211304,50.917381286621094,0.020715218037366867,0.02191225439310074,120000
0.7213656902313232,-51.405704498291016,0.2992706000804901,0.3508492708206177,51.3306884765625,0.0271120835095644,0.02199135161936283,140000
0.8464599847793579,-53.6069450378418,0.33073556423187256,0.35439226031303406,53.48136901855469,0.02787649631500244,0.02142583206295967,160000
0.564434289932251,-55.127193450927734,0.35975852608680725,0.35790300369262695,55.08380126953125,0.009950203821063042,0.019058719277381897,180000
0.7945883870124817,-57.616920471191406,0.21518582105636597,0.35201898217201233,57.49568176269531,0.004987890832126141,0.020250245928764343,200000
0.9610998034477234,-56.998863220214844,1.1069082021713257,0.3492514491081238,57.343292236328125,0.019771486520767212,0.019792217761278152,220000
0.5756536722183228,-58.63571548461914,0.39496874809265137,0.300244003534317,58.75603485107422,0.005391489714384079,0.018506476655602455,240000
0.4756186008453369,-59.694496154785156,0.35931116342544556,0.3648562431335449,59.889766693115234,0.006083858665078878,0.018319351598620415,260000
0.6001286506652832,-57.96853256225586,0.32386791706085205,0.3535428047180176,57.94808578491211,-0.000961995217949152,0.019296586513519287,280000
0.6952313780784607,-59.420345306396484,0.6918540596961975,0.36225438117980957,59.60059356689453,0.026403479278087616,0.01815476082265377,300000
0.748310923576355,-56.070743560791016,0.3631466031074524,0.34645015001296997,56.09664535522461,-0.017054453492164612,0.02018413320183754,320000
0.9279351234436035,-59.863250732421875,0.37615352869033813,0.3259426951408386,59.98147964477539,-0.00038927793502807617,0.01960175670683384,340000
0.6210523843765259,-59.927528381347656,0.37342730164527893,0.3012104630470276,59.945220947265625,0.0026576630771160126,0.018474096432328224,360000
0.5962324142456055,-61.062110900878906,0.4042389988899231,0.3207823634147644,61.08619689941406,0.013743334449827671,0.018158432096242905,380000
0.476821631193161,-60.767425537109375,0.3982631266117096,0.3072104752063751,60.712501525878906,0.009114974178373814,0.017474578693509102,400000
0.6580373048782349,-61.95139694213867,0.579876184463501,0.3706940710544586,61.974754333496094,-0.042347148060798645,0.017857886850833893,420000
0.7672100067138672,-61.49611282348633,0.6245474219322205,0.3052944540977478,61.701148986816406,-0.05814587324857712,0.018987974151968956,440000
0.5195455551147461,-60.21519470214844,0.3078356385231018,0.29331138730049133,60.33649826049805,0.01902766525745392,0.017414771020412445,460000
0.5595643520355225,-61.76158905029297,0.3004613518714905,0.320548415184021,61.85816955566406,0.010989402420818806,0.017788128927350044,480000
0.9053952693939209,-61.25835418701172,0.4297478199005127,0.32312309741973877,61.10639953613281,-0.009320965968072414,0.017061254009604454,500000
,,,,,,,500999
,,,,,,,501999
,,,,,,,502999
,,,,,,,503999
,,,,,,,504999
,,,,,,,505999
,,,,,,,506999
,,,,,,,507999
,,,,,,,508373
,,,,,,,509373
,,,,,,,510338
,,,,,,,511338
,,,,,,,512338
,,,,,,,513338
,,,,,,,514338
,,,,,,,515338
,,,,,,,516338
,,,,,,,517338
,,,,,,,518338
,,,,,,,519338
,,,,,,,520338
,,,,,,,521338
,,,,,,,522338
,,,,,,,523338
,,,,,,,524338
,,,,,,,525338
,,,,,,,526338
,,,,,,,527338
,,,,,,,528338
,,,,,,,529338
,,,,,,,530338
,,,,,,,531338
,,,,,,,532338
,,,,,,,533338
,,,,,,,534338
,,,,,,,535338
,,,,,,,536338
,,,,,,,537338
,,,,,,,538338
,,,,,,,539338
,,,,,,,540338
,,,,,,,541338
,,,,,,,542338
,,,,,,,543338
,,,,,,,544338
,,,,,,,545338
,,,,,,,546338
,,,,,,,547338
,,,,,,,548338
,,,,,,,549338
,,,,,,,550338
,,,,,,,551338
,,,,,,,552338
,,,,,,,553338
,,,,,,,554338
,,,,,,,555338
,,,,,,,556338
,,,,,,,557338
,,,,,,,558338
,,,,,,,559338
,,,,,,,560338
,,,,,,,561338
,,,,,,,562338
,,,,,,,563338
,,,,,,,564338
,,,,,,,565338
,,,,,,,566338
,,,,,,,567338
,,,,,,,568338
,,,,,,,569338
,,,,,,,570338
,,,,,,,571338
,,,,,,,572338
,,,,,,,573338
,,,,,,,574338
,,,,,,,575338
,,,,,,,576338
,,,,,,,577338
,,,,,,,578338
,,,,,,,579338
,,,,,,,580338
,,,,,,,581338
,,,,,,,582338
,,,,,,,583338
,,,,,,,584338
,,,,,,,585338
,,,,,,,586338
,,,,,,,587338
,,,,,,,588338
,,,,,,,589338
,,,,,,,590338
,,,,,,,591338
,,,,,,,592338
,,,,,,,593338
,,,,,,,594338
,,,,,,,595338
,,,,,,,596338
,,,,,,,597338
,,,,,,,598338
,,,,,,,599338
