critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.1672332286834717,-0.12334075570106506,1.14454984664917,-1.0605379343032837,1.5551016330718994,10.199626922607422,7.109084129333496,3.090542793273926,1.5990078449249268,0
1.4248554706573486,-65.4388656616211,3.3197884559631348,-67.22171783447266,0.5170935392379761,65.8602294921875,0.3920292854309082,65.46820068359375,0.27201005816459656,20000
1.0835800170898438,-80.87493133544922,2.0865979194641113,-89.94320678710938,0.5468140840530396,81.35304260253906,0.4431483745574951,80.90989685058594,0.2609933018684387,40000
1.2217271327972412,-83.340576171875,-1.3231000900268555,-96.43754577636719,0.5025880932807922,83.59078216552734,0.5027283430099487,83.08805084228516,0.23094616830348969,60000
0.9305326342582703,-81.60223388671875,-24.59498405456543,-98.80452728271484,0.44395264983177185,81.78797912597656,0.4037473201751709,81.38423156738281,0.2202361524105072,80000
1.314434289932251,-80.549560546875,-10.692475318908691,-99.02828979492188,0.4395822584629059,80.72669982910156,0.40151768922805786,80.32518005371094,0.19106096029281616,100000
1.668248176574707,-79.62521362304688,2.0165271759033203,-98.9923095703125,0.4711463749408722,79.95726776123047,0.39847666025161743,79.55879211425781,0.2030409872531891,120000
0.7376070022583008,-78.98565673828125,0.33910688757896423,-99.37113189697266,0.4867093563079834,79.24678802490234,0.3934689164161682,78.85331726074219,0.2037314772605896,140000
1.1616442203521729,-79.10838317871094,0.7843171954154968,-98.94403839111328,0.478046715259552,79.24156188964844,0.3861372470855713,78.85542297363281,0.19032669067382812,160000
0.5665848255157471,-79.79268646240234,-29.871301651000977,-99.36368560791016,0.469230055809021,79.92308044433594,0.3604409694671631,79.56263732910156,0.20794381201267242,180000
0.7354583144187927,-79.75733947753906,0.7260990738868713,-98.21753692626953,0.4709652066230774,79.92115783691406,0.4379091262817383,79.48324584960938,0.20745787024497986,200000
0.9409356713294983,-79.61187744140625,-35.356285095214844,-98.71062469482422,0.44843626022338867,79.8134536743164,0.43983060121536255,79.37362670898438,0.1958497166633606,220000
0.4819009006023407,-79.5796127319336,0.5403342247009277,-98.60074615478516,0.3988915979862213,79.76081848144531,0.3651549816131592,79.39566040039062,0.18628162145614624,240000
0.4744100570678711,-79.87931823730469,-0.8716772198677063,-99.62674713134766,0.4814435839653015,80.07965850830078,0.3813542127609253,79.69830322265625,0.19763699173927307,260000
0.7666690349578857,-79.44969177246094,1.1346482038497925,-100.42848205566406,0.4283352494239807,79.63611602783203,0.38653141260147095,79.24958801269531,0.1846306324005127,280000
0.4601324796676636,-80.76423645019531,-10.500777244567871,-100.34954071044922,0.41756367683410645,81.07548522949219,0.32297009229660034,80.75251770019531,0.1696654111146927,300000
0.9223935604095459,-76.95057678222656,2.240234613418579,-100.01614379882812,0.4058122932910919,77.08326721191406,0.3507082164287567,76.73255920410156,0.16937807202339172,320000
1.2565643787384033,-81.99490356445312,0.03633376955986023,-99.51858520507812,0.4109041690826416,82.29733276367188,0.3547314405441284,81.9426040649414,0.1712014079093933,340000
0.9121049642562866,-81.13768768310547,-42.81654739379883,-101.7247085571289,0.33111029863357544,81.26782989501953,0.3643433451652527,80.90348815917969,0.16538885235786438,360000
0.5249155759811401,-80.15909576416016,-1.1620222330093384,-99.05278778076172,0.3913783133029938,80.44632720947266,0.40727680921554565,80.03904724121094,0.16718092560768127,380000
2.832651138305664,-79.91300964355469,0.3292750418186188,-100.2038803100586,0.3788509964942932,80.05294036865234,0.3711495101451874,79.68179321289062,0.17349368333816528,400000
0.6035951972007751,-81.7965316772461,-0.5857781171798706,-101.00274658203125,0.39907270669937134,81.90497589111328,0.3636671304702759,81.54130554199219,0.17212338745594025,420000
0.6520404815673828,-81.81507873535156,-26.938249588012695,-99.81726837158203,0.4285324811935425,82.0311508178711,0.2937373220920563,81.73741149902344,0.16426587104797363,440000
0.9205626249313354,-80.91755676269531,0.26867368817329407,-100.0793228149414,0.4114333987236023,81.02827453613281,0.3480565547943115,80.68022155761719,0.1681893914937973,460000
1.3417232036590576,-81.54135131835938,0.11350682377815247,-103.68276977539062,0.43055346608161926,81.7457046508789,0.3543882369995117,81.39131927490234,0.16900524497032166,480000
0.8832098245620728,-79.868896484375,-1.0553884506225586,-102.9034194946289,0.39032915234565735,80.00352478027344,0.3098781108856201,79.69364929199219,0.16142666339874268,500000
,,,,,,,,,500790
,,,,,,,,,501790
,,,,,,,,,502790
,,,,,,,,,503229
,,,,,,,,,503969
,,,,,,,,,504969
,,,,,,,,,505633
,,,,,,,,,506216
,,,,,,,,,507216
,,,,,,,,,508216
,,,,,,,,,509018
,,,,,,,,,510018
,,,,,,,,,511018
,,,,,,,,,511980
,,,,,,,,,512860
,,,,,,,,,513800
,,,,,,,,,514800
,,,,,,,,,515462
,,,,,,,,,516462
,,,,,,,,,517462
,,,,,,,,,518462
,,,,,,,,,519462
,,,,,,,,,520462
,,,,,,,,,520697
,,,,,,,,,521697
,,,,,,,,,522697
,,,,,,,,,523697
,,,,,,,,,524697
,,,,,,,,,525697
,,,,,,,,,526467
,,,,,,,,,527078
,,,,,,,,,527491
,,,,,,,,,528491
,,,,,,,,,528849
,,,,,,,,,529221
,,,,,,,,,530221
,,,,,,,,,531221
,,,,,,,,,531596
,,,,,,,,,532596
,,,,,,,,,533596
,,,,,,,,,534596
,,,,,,,,,535089
,,,,,,,,,536089
,,,,,,,,,537089
,,,,,,,,,537415
,,,,,,,,,538415
,,,,,,,,,539415
,,,,,,,,,540415
,,,,,,,,,541202
,,,,,,,,,542202
,,,,,,,,,543202
,,,,,,,,,544202
,,,,,,,,,545202
,,,,,,,,,546202
,,,,,,,,,546948
,,,,,,,,,547948
,,,,,,,,,548948
,,,,,,,,,549948
,,,,,,,,,550624
,,,,,,,,,551624
,,,,,,,,,552624
,,,,,,,,,552992
,,,,,,,,,553992
,,,,,,,,,554992
,,,,,,,,,555230
,,,,,,,,,555589
,,,,,,,,,556589
,,,,,,,,,557589
,,,,,,,,,558175
,,,,,,,,,559175
,,,,,,,,,560175
,,,,,,,,,561175
,,,,,,,,,561686
,,,,,,,,,562686
,,,,,,,,,563686
,,,,,,,,,564686
,,,,,,,,,565037
,,,,,,,,,565525
,,,,,,,,,566525
,,,,,,,,,567525
,,,,,,,,,568525
,,,,,,,,,569525
,,,,,,,,,569973
,,,,,,,,,570973
,,,,,,,,,571973
,,,,,,,,,572377
,,,,,,,,,573377
,,,,,,,,,573707
,,,,,,,,,574707
,,,,,,,,,575707
,,,,,,,,,576707
,,,,,,,,,577707
,,,,,,,,,578061
,,,,,,,,,579061
,,,,,,,,,579868
,,,,,,,,,580868
,,,,,,,,,581868
,,,,,,,,,582868
,,,,,,,,,583868
,,,,,,,,,584484
,,,,,,,,,585484
,,,,,,,,,586484
,,,,,,,,,587484
,,,,,,,,,588247
,,,,,,,,,589247
,,,,,,,,,589862
,,,,,,,,,590496
,,,,,,,,,591496
,,,,,,,,,592353
,,,,,,,,,592793
,,,,,,,,,593269
,,,,,,,,,593553
,,,,,,,,,594553
,,,,,,,,,595097
,,,,,,,,,596097
,,,,,,,,,597097
,,,,,,,,,597326
,,,,,,,,,597752
,,,,,,,,,598013
,,,,,,,,,599013
